CMDLINE /usr/local/bin/python3 diffusion.py
FUNC __main__.evolve 95.7031 1737501784.3324 95.7031 1737501784.3972 1
FUNC __main__.evolve 95.7031 1737501784.3990 96.8438 1737501784.4898 1
FUNC __main__.evolve 96.8438 1737501784.4916 96.8438 1737501784.5572 1
FUNC __main__.evolve 96.8438 1737501784.5589 96.8438 1737501784.6236 1
FUNC __main__.evolve 96.8438 1737501784.6252 99.9844 1737501784.6901 1
FUNC __main__.evolve 99.9844 1737501784.6917 99.9844 1737501784.7564 1
FUNC __main__.evolve 99.9844 1737501784.7581 99.9844 1737501784.8229 1
FUNC __main__.evolve 99.9844 1737501784.8245 99.9844 1737501784.8893 1
FUNC __main__.evolve 99.9844 1737501784.8910 99.9844 1737501784.9556 1
FUNC __main__.evolve 99.9844 1737501784.9572 100.0156 1737501785.0222 1
FUNC __main__.evolve 100.0156 1737501785.0240 100.0156 1737501785.0892 1
FUNC __main__.evolve 100.0156 1737501785.0909 100.0156 1737501785.1570 1
FUNC __main__.evolve 100.0156 1737501785.1588 100.0312 1737501785.2233 1
FUNC __main__.evolve 100.0312 1737501785.2251 100.0312 1737501785.2894 1
FUNC __main__.evolve 100.0312 1737501785.2915 100.0625 1737501785.3579 1
FUNC __main__.evolve 100.0625 1737501785.3597 100.0625 1737501785.4262 1
FUNC __main__.evolve 100.0625 1737501785.4280 103.2031 1737501785.4943 1
FUNC __main__.evolve 103.2031 1737501785.4961 103.2031 1737501785.5621 1
FUNC __main__.evolve 103.2031 1737501785.5639 103.2031 1737501785.6289 1
FUNC __main__.evolve 103.2031 1737501785.6310 103.2031 1737501785.7002 1
FUNC __main__.evolve 103.2031 1737501785.7020 103.2031 1737501785.7679 1
FUNC __main__.evolve 103.2031 1737501785.7697 103.2031 1737501785.8345 1
FUNC __main__.evolve 103.2031 1737501785.8362 103.2031 1737501785.9195 1
FUNC __main__.evolve 103.2031 1737501785.9213 103.2031 1737501785.9868 1
FUNC __main__.evolve 103.2031 1737501785.9885 103.2031 1737501786.0527 1
FUNC __main__.evolve 103.2031 1737501786.0544 103.2031 1737501786.1202 1
FUNC __main__.evolve 103.2031 1737501786.1219 103.2031 1737501786.1874 1
FUNC __main__.evolve 103.2031 1737501786.1892 103.2031 1737501786.2550 1
FUNC __main__.evolve 103.2031 1737501786.2568 103.2031 1737501786.3218 1
FUNC __main__.evolve 103.2031 1737501786.3235 103.2031 1737501786.3894 1
FUNC __main__.evolve 103.2031 1737501786.3911 103.2031 1737501786.4546 1
FUNC __main__.evolve 103.2031 1737501786.4563 103.2031 1737501786.5206 1
FUNC __main__.evolve 103.2031 1737501786.5222 103.2031 1737501786.5870 1
FUNC __main__.evolve 103.2031 1737501786.5886 103.2031 1737501786.6541 1
FUNC __main__.evolve 103.2031 1737501786.6559 103.2031 1737501786.7212 1
FUNC __main__.evolve 103.2031 1737501786.7229 103.2031 1737501786.7879 1
FUNC __main__.evolve 103.2031 1737501786.7895 103.2031 1737501786.8550 1
FUNC __main__.evolve 103.2031 1737501786.8566 103.2031 1737501786.9245 1
FUNC __main__.evolve 103.2031 1737501786.9262 103.2031 1737501786.9918 1
FUNC __main__.evolve 103.2031 1737501786.9934 103.2031 1737501787.0589 1
FUNC __main__.evolve 103.2031 1737501787.0606 103.2031 1737501787.1257 1
FUNC __main__.evolve 103.2031 1737501787.1273 103.2031 1737501787.1927 1
FUNC __main__.evolve 103.2031 1737501787.1943 103.2031 1737501787.2594 1
FUNC __main__.evolve 103.2031 1737501787.2611 103.2031 1737501787.3269 1
FUNC __main__.evolve 103.2031 1737501787.3286 103.2188 1737501787.3942 1
FUNC __main__.evolve 103.2188 1737501787.3959 103.2188 1737501787.4629 1
FUNC __main__.evolve 103.2188 1737501787.4647 103.2188 1737501787.5310 1
FUNC __main__.evolve 103.2188 1737501787.5328 103.2188 1737501787.5979 1
FUNC __main__.evolve 103.2188 1737501787.5997 103.2188 1737501787.6645 1
FUNC __main__.evolve 103.2188 1737501787.6662 103.2188 1737501787.7310 1
FUNC __main__.evolve 103.2188 1737501787.7328 103.2188 1737501787.8001 1
FUNC __main__.evolve 103.2188 1737501787.8019 103.2188 1737501787.8682 1
FUNC __main__.evolve 103.2188 1737501787.8700 103.2188 1737501787.9350 1
FUNC __main__.evolve 103.2188 1737501787.9367 103.2188 1737501788.0019 1
FUNC __main__.evolve 103.2188 1737501788.0037 103.2188 1737501788.0695 1
FUNC __main__.evolve 103.2188 1737501788.0713 103.2188 1737501788.1364 1
FUNC __main__.evolve 103.2188 1737501788.1381 103.2188 1737501788.2033 1
FUNC __main__.evolve 103.2188 1737501788.2050 103.2188 1737501788.2703 1
FUNC __main__.evolve 103.2188 1737501788.2720 103.2188 1737501788.3372 1
FUNC __main__.evolve 103.2188 1737501788.3389 103.2188 1737501788.4038 1
FUNC __main__.evolve 103.2188 1737501788.4054 103.2188 1737501788.4698 1
FUNC __main__.evolve 103.2188 1737501788.4717 103.2188 1737501788.5362 1
FUNC __main__.evolve 103.2188 1737501788.5379 103.2188 1737501788.6023 1
FUNC __main__.evolve 103.2188 1737501788.6043 103.2188 1737501788.6681 1
FUNC __main__.evolve 103.2188 1737501788.6699 103.2188 1737501788.7365 1
FUNC __main__.evolve 103.2188 1737501788.7387 103.2188 1737501788.8081 1
FUNC __main__.evolve 103.2188 1737501788.8099 103.4219 1737501788.8932 1
FUNC __main__.evolve 103.4219 1737501788.8950 103.4219 1737501788.9601 1
FUNC __main__.evolve 103.4219 1737501788.9619 103.4219 1737501789.0265 1
FUNC __main__.evolve 103.4219 1737501789.0283 103.4219 1737501789.0922 1
FUNC __main__.evolve 103.4219 1737501789.0940 103.4219 1737501789.1585 1
FUNC __main__.evolve 103.4219 1737501789.1602 103.4219 1737501789.2243 1
FUNC __main__.evolve 103.4219 1737501789.2261 103.4219 1737501789.2908 1
FUNC __main__.evolve 103.4219 1737501789.2926 103.4219 1737501789.3581 1
FUNC __main__.evolve 103.4219 1737501789.3598 103.4219 1737501789.4254 1
FUNC __main__.evolve 103.4219 1737501789.4271 103.4219 1737501789.4929 1
FUNC __main__.evolve 103.4219 1737501789.4946 103.4219 1737501789.5594 1
FUNC __main__.evolve 103.4219 1737501789.5611 103.4219 1737501789.6288 1
FUNC __main__.evolve 103.4219 1737501789.6305 103.4219 1737501789.6956 1
FUNC __main__.evolve 103.4219 1737501789.6973 103.4219 1737501789.7627 1
FUNC __main__.evolve 103.4219 1737501789.7644 103.4219 1737501789.8299 1
FUNC __main__.evolve 103.4219 1737501789.8316 103.4219 1737501789.8978 1
FUNC __main__.evolve 103.4219 1737501789.8996 103.4219 1737501789.9649 1
FUNC __main__.evolve 103.4219 1737501789.9666 103.4219 1737501790.0307 1
FUNC __main__.evolve 103.4219 1737501790.0323 103.4219 1737501790.0975 1
FUNC __main__.evolve 103.4219 1737501790.0992 103.4219 1737501790.1643 1
FUNC __main__.evolve 103.4219 1737501790.1660 103.4219 1737501790.2310 1
FUNC __main__.evolve 103.4219 1737501790.2327 103.4219 1737501790.2980 1
FUNC __main__.evolve 103.4219 1737501790.2998 103.4219 1737501790.3640 1
FUNC __main__.evolve 103.4219 1737501790.3657 103.4219 1737501790.4307 1
FUNC __main__.evolve 103.4219 1737501790.4324 103.4219 1737501790.4978 1
FUNC __main__.evolve 103.4219 1737501790.4995 103.4219 1737501790.5648 1
FUNC __main__.evolve 103.4219 1737501790.5665 103.4219 1737501790.6315 1
FUNC __main__.evolve 103.4219 1737501790.6332 103.4219 1737501790.6982 1
FUNC __main__.evolve 103.4219 1737501790.6999 103.4219 1737501790.7649 1
FUNC __main__.evolve 103.4219 1737501790.7666 103.4219 1737501790.8315 1
FUNC __main__.evolve 103.4219 1737501790.8333 103.4219 1737501790.8984 1
FUNC __main__.evolve 103.4219 1737501790.9001 103.4219 1737501790.9649 1
FUNC __main__.evolve 103.4219 1737501790.9666 103.4219 1737501791.0315 1
FUNC __main__.evolve 103.4219 1737501791.0332 103.4219 1737501791.0983 1
FUNC __main__.evolve 103.4219 1737501791.1000 103.4219 1737501791.1652 1
FUNC __main__.evolve 103.4219 1737501791.1669 103.4219 1737501791.2321 1
FUNC __main__.evolve 103.4219 1737501791.2339 103.4219 1737501791.3125 1
FUNC __main__.evolve 103.4219 1737501791.3143 103.4219 1737501791.3803 1
FUNC __main__.evolve 103.4219 1737501791.3820 103.4219 1737501791.4477 1
FUNC __main__.evolve 103.4219 1737501791.4494 103.4219 1737501791.5149 1
FUNC __main__.evolve 103.4219 1737501791.5167 103.4219 1737501791.5819 1
FUNC __main__.evolve 103.4219 1737501791.5836 103.4219 1737501791.6486 1
FUNC __main__.evolve 103.4219 1737501791.6503 103.4219 1737501791.7154 1
FUNC __main__.evolve 103.4219 1737501791.7171 103.4219 1737501791.7824 1
